id_number,precinct
1 ,4607 
2 ,4501 
3 ,4207 
4 ,4406 
5 ,5003 
6 ,4101 
7 ,4306 
8 ,4704 
9 ,4802 
10 ,3301 
11 ,4606 
12 ,4502 
13 ,4708 
14 ,3305 
15 ,4702 
16 ,4710 
17 ,4404 
18 ,4705 
19 ,4507 
20 ,4508 
21 ,4202 
22 ,4105 
23 ,4603 
24 ,4806 
25 ,4403 
26 ,4506 
27 ,4805 
28 ,4304 
29 ,4803 
30 ,4503 
31 ,2803 
32 ,2804 
33 ,4407 
34 ,3805 
35 ,4703 
36 ,4910 
37 ,2806 
38 ,3307 
39 ,4707 
40 ,4104 
41 ,4509 
42 ,3302 
43 ,4303 
44 ,2801 
45 ,4205 
46 ,4302 
47 ,4602 
48 ,4709 
49 ,4402 
50 ,3803 
51 ,4604 
52 ,5001 
53 ,3303 
54 ,4605 
55 ,4201 
56 ,4307 
57 ,2805 
58 ,4706
59 ,4206
60 ,4801
61 ,3304
62 ,4809
63 ,4804
64 ,3401
65 ,4102
66 ,4103
67 ,4301
68 ,4601
69 ,3308
70 ,4203
71 ,4204
72 ,4208
73 ,4305
74 ,3804
75 ,3806
76 ,3306
77 ,4505
78 ,4401
79 ,4405
80 ,WASH-366
81 ,WASH-375
82 ,WASH-391
83 ,WASH-392
84 ,WASH-441
85 ,CLACK-115
86 ,CLACK-116
87 ,NULL
88 ,CLACK-113
89 ,CLACK-114